Date,Close
10/18/2016,57.66
10/17/2016,57.22
10/14/2016,57.42
10/13/2016,56.92
10/12/2016,57.11
10/11/2016,57.19
10/10/2016,58.04
10/7/2016,57.8
10/6/2016,57.74
10/5/2016,57.64
10/4/2016,57.24
10/3/2016,57.42
09/30/2016,57.6
09/29/2016,57.4
09/28/2016,58.03
09/27/2016,57.95
09/26/2016,56.9
09/23/2016,57.43
09/22/2016,57.82
09/21/2016,57.76
09/20/2016,56.81
09/19/2016,56.93
09/16/2016,57.25
09/15/2016,57.19
09/14/2016,56.26
09/13/2016,56.53
9/12/2016,57.05
9/9/2016,56.21
9/8/2016,57.43
9/7/2016,57.66
9/6/2016,57.61
9/2/2016,57.67
9/1/2016,57.59
08/31/2016,57.46
08/30/2016,57.89
08/29/2016,58.1
08/26/2016,58.03
08/25/2016,58.17
08/24/2016,57.95
08/23/2016,57.89
08/22/2016,57.67
08/19/2016,57.62
08/18/2016,57.6
08/17/2016,57.56
08/16/2016,57.44
08/15/2016,58.12
8/12/2016,57.94
8/11/2016,58.3
8/10/2016,58.02
8/9/2016,58.2
8/8/2016,58.06
8/5/2016,57.96
8/4/2016,57.39
8/3/2016,56.97
8/2/2016,56.58
8/1/2016,56.58
07/29/2016,56.68
07/28/2016,56.21
07/27/2016,56.19
07/26/2016,56.76
07/25/2016,56.73
07/22/2016,56.57
07/21/2016,55.8
07/20/2016,55.91
07/19/2016,53.09
07/18/2016,53.96
07/15/2016,53.7
07/14/2016,53.74
07/13/2016,53.51
7/12/2016,53.21
7/11/2016,52.59
7/8/2016,52.3
7/7/2016,51.38
7/6/2016,51.38
7/5/2016,51.17
7/1/2016,51.16
06/30/2016,51.17
06/29/2016,50.54
06/28/2016,49.44
06/27/2016,48.43
06/24/2016,49.83
06/23/2016,51.91
06/22/2016,50.99
06/21/2016,51.19
06/20/2016,50.07
06/17/2016,50.13
06/16/2016,50.39
06/15/2016,49.69
06/14/2016,49.83
06/13/2016,50.14
6/10/2016,51.48
6/9/2016,51.62
6/8/2016,52.04
6/7/2016,52.1
6/6/2016,52.13
6/3/2016,51.79
6/2/2016,52.48
6/1/2016,52.85
05/31/2016,53
05/27/2016,52.32
05/26/2016,51.89
05/25/2016,52.12
05/24/2016,51.59
05/23/2016,50.03
05/20/2016,50.62
05/19/2016,50.32
05/18/2016,50.81
05/17/2016,50.51
05/16/2016,51.83
05/13/2016,51.08
5/12/2016,51.51
5/11/2016,51.05
5/10/2016,51.02
5/9/2016,50.07
5/6/2016,50.39
5/5/2016,49.94
5/4/2016,49.87
5/3/2016,49.78
5/2/2016,50.61
04/29/2016,49.87
04/28/2016,49.9
04/27/2016,50.94
04/26/2016,51.44
04/25/2016,52.11
04/22/2016,51.78
04/21/2016,55.78
04/20/2016,55.59
04/19/2016,56.39
04/18/2016,56.46
04/15/2016,55.65
04/14/2016,55.36
04/13/2016,55.35
4/12/2016,54.65
4/11/2016,54.31
4/8/2016,54.42
4/7/2016,54.46
4/6/2016,55.12
4/5/2016,54.56
4/4/2016,55.43
4/1/2016,55.57
03/31/2016,55.23
03/30/2016,55.05
03/29/2016,54.71
03/28/2016,53.54
03/24/2016,54.21
03/23/2016,53.97
03/22/2016,54.07
03/21/2016,53.86
03/18/2016,53.49
03/17/2016,54.66
03/16/2016,54.35
03/15/2016,53.59
03/14/2016,53.17
3/11/2016,53.07
3/10/2016,52.05
3/9/2016,52.84
3/8/2016,51.65
3/7/2016,51.03
3/4/2016,52.03
3/3/2016,52.35
3/2/2016,52.95
3/1/2016,52.58
02/29/2016,50.88
02/26/2016,51.3
02/25/2016,52.1
02/24/2016,51.36
02/23/2016,51.18
02/22/2016,52.65
02/19/2016,51.82
02/18/2016,52.19
02/17/2016,52.42
02/16/2016,51.09
2/12/2016,50.5
2/11/2016,49.69
2/10/2016,49.71
2/9/2016,49.28
2/8/2016,49.41
2/5/2016,50.16
2/4/2016,52
2/3/2016,52.16
2/2/2016,53
2/1/2016,54.71
01/29/2016,55.09
01/28/2016,52.06
01/27/2016,51.22
01/26/2016,52.17
01/25/2016,51.79
01/22/2016,52.29
01/21/2016,50.48
01/20/2016,50.79
01/19/2016,50.56
01/15/2016,50.99
01/14/2016,53.11
01/13/2016,51.64
1/12/2016,52.78
1/11/2016,52.3
1/8/2016,52.33
1/7/2016,52.17
1/6/2016,54.05
1/5/2016,55.05
1/4/2016,54.8
12/31/2015,55.48
12/30/2015,56.31
12/29/2015,56.55
12/28/2015,55.95
12/24/2015,55.67
12/23/2015,55.82
12/22/2015,55.35
12/21/2015,54.83
12/18/2015,54.13
12/17/2015,55.7
12/16/2015,56.13
12/15/2015,55.2
12/14/2015,55.14
12/11/2015,54.06
12/10/2015,55.27
12/9/2015,54.98
12/8/2015,55.79
12/7/2015,55.81
12/4/2015,55.91
12/3/2015,54.2
12/2/2015,55.21
12/1/2015,55.22
11/30/2015,54.35
11/27/2015,53.93
11/25/2015,53.69
11/24/2015,54.25
11/23/2015,54.19
11/20/2015,54.19
11/19/2015,53.94
11/18/2015,53.85
11/17/2015,52.97
11/16/2015,53.77
11/13/2015,52.84
11/12/2015,53.32
11/11/2015,53.65
11/10/2015,53.51
11/9/2015,54.16
11/6/2015,54.92
11/5/2015,54.38
11/4/2015,54.4
11/3/2015,54.15
11/2/2015,53.24
10/30/2015,52.64
10/29/2015,53.36
10/28/2015,53.98
10/27/2015,53.69
10/26/2015,54.25
10/23/2015,52.87
10/22/2015,48.03
10/21/2015,47.2
10/20/2015,47.77
10/19/2015,47.62
10/16/2015,47.51
10/15/2015,47.01
10/14/2015,46.68
10/13/2015,46.89
10/12/2015,47
10/9/2015,47.11
10/8/2015,47.45
10/7/2015,46.8
10/6/2015,46.75
10/5/2015,46.63
10/2/2015,45.57
10/1/2015,44.61
09/30/2015,44.26
09/29/2015,43.44
09/28/2015,43.29
09/25/2015,43.94
09/24/2015,43.91
09/23/2015,43.87
09/22/2015,43.9
09/21/2015,44.11
09/18/2015,43.48
09/17/2015,44.25
09/16/2015,44.3
09/15/2015,43.98
09/14/2015,43.04
9/11/2015,43.48
9/10/2015,43.29
9/9/2015,43.07
9/8/2015,43.89
9/4/2015,42.61
9/3/2015,43.5
9/2/2015,43.36
9/1/2015,41.82
08/31/2015,43.52
08/28/2015,43.93
08/27/2015,43.9
08/26/2015,42.71
08/25/2015,40.47
08/24/2015,41.68
08/21/2015,43.07
08/20/2015,45.66
08/19/2015,46.61
08/18/2015,47.27
08/17/2015,47.32
08/14/2015,47
08/13/2015,46.73
8/12/2015,46.74
8/11/2015,46.41
8/10/2015,47.33
8/7/2015,46.74
8/6/2015,46.62
8/5/2015,47.58
8/4/2015,47.54
8/3/2015,46.81
07/31/2015,46.7
07/30/2015,46.88
07/29/2015,46.29
07/28/2015,45.34
07/27/2015,45.35
07/24/2015,45.94
07/23/2015,46.11
07/22/2015,45.54
07/21/2015,47.28
07/20/2015,46.92
07/17/2015,46.62
07/16/2015,46.66
07/15/2015,45.76
07/14/2015,45.62
07/13/2015,45.54
7/10/2015,44.61
7/9/2015,44.52
7/8/2015,44.24
7/7/2015,44.3
7/6/2015,44.39
7/2/2015,44.4
7/1/2015,44.45
06/30/2015,44.15
06/29/2015,44.37
06/26/2015,45.26
06/25/2015,45.65
06/24/2015,45.64
06/23/2015,45.91
06/22/2015,46.23
06/19/2015,46.1
06/18/2015,46.72
06/17/2015,45.97
06/16/2015,45.83
06/15/2015,45.48
6/12/2015,45.97
6/11/2015,46.44
6/10/2015,46.61
6/9/2015,45.65
6/8/2015,45.73
6/5/2015,46.14
6/4/2015,46.36
6/3/2015,46.85
6/2/2015,46.92
6/1/2015,47.23
05/29/2015,46.86
05/28/2015,47.45
05/27/2015,47.61
05/26/2015,46.59
05/22/2015,46.9
05/21/2015,47.42
05/20/2015,47.58
05/19/2015,47.58
05/18/2015,48.01
05/15/2015,48.3
05/14/2015,48.72
05/13/2015,47.63
5/12/2015,47.35
5/11/2015,47.37
5/8/2015,47.75
5/7/2015,46.7
5/6/2015,46.28
5/5/2015,47.6
5/4/2015,48.24
5/1/2015,48.66
04/30/2015,48.64
04/29/2015,49.06
04/28/2015,49.16
04/27/2015,48.03
04/24/2015,47.87
04/23/2015,43.34
04/22/2015,42.99
04/21/2015,42.64
04/20/2015,42.91
04/17/2015,41.62
04/16/2015,42.16
04/15/2015,42.26
04/14/2015,41.65
04/13/2015,41.76
4/10/2015,41.72
4/9/2015,41.48
4/8/2015,41.42
4/7/2015,41.53
4/6/2015,41.55
4/2/2015,40.29
4/1/2015,40.72
03/31/2015,40.66
03/30/2015,40.96
03/27/2015,40.97
03/26/2015,41.21
03/25/2015,41.46
03/24/2015,42.9
03/23/2015,42.86
03/20/2015,42.88
03/19/2015,42.29
03/18/2015,42.5
03/17/2015,41.7
03/16/2015,41.56
03/13/2015,41.38
3/12/2015,41.02
3/11/2015,41.98
3/10/2015,42.03
3/9/2015,42.85
3/6/2015,42.36
3/5/2015,43.11
3/4/2015,43.06
3/3/2015,43.28
3/2/2015,43.88
02/27/2015,43.85
02/26/2015,44.06
02/25/2015,43.99
02/24/2015,44.09
02/23/2015,44.15
02/20/2015,43.86
02/19/2015,43.5
02/18/2015,43.53
02/17/2015,43.58
02/13/2015,43.87
2/12/2015,43.09
2/11/2015,42.38
2/10/2015,42.6
2/9/2015,42.36
2/6/2015,42.41
2/5/2015,42.45
2/4/2015,41.84
2/3/2015,41.6
2/2/2015,41.28
01/30/2015,40.4
01/29/2015,42.01
01/28/2015,41.19
01/27/2015,42.66
01/26/2015,47.01
01/23/2015,47.18
01/22/2015,47.13
01/21/2015,45.92
01/20/2015,46.39
01/16/2015,46.24
01/15/2015,45.48
01/14/2015,45.96
01/13/2015,46.36
1/12/2015,46.6
1/9/2015,47.19
1/8/2015,47.59
1/7/2015,46.23
1/6/2015,45.65
1/5/2015,46.33
1/2/2015,46.76
